CTE Coherent Sequence (Annual Graduates),2015-16,SA0GV16R,RA0GV16R,DA0GV16R,DB0GV16R,DH0GV16R,DW0GV16R,DI0GV16R,D30GV16R,D40GV16R,D20GV16R,DS0GV16R,DE0GV16R,DL0GV16R,,
CTE Coherent Sequence (Annual Graduates),2014-15,SA0GV15R,RA0GV15R,DA0GV15R,DB0GV15R,DH0GV15R,DW0GV15R,DI0GV15R,D30GV15R,D40GV15R,D20GV15R,DS0GV15R,DE0GV15R,DL0GV15R,,
,2014-15,,,,,,,,,,,,,,,
,DISTRICT,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
AP/IB Results (Participation),AP/IB Results (Participation),,,,,,,,,,,,,,,
All Subjects,All Subjects,,,,,,,,,,,,,,,
All Subjects,2016,SA0BTA16R,RA0BTA16R,DA0BTA16R,DB0BTA16R,DH0BTA16R,DW0BTA16R,DI0BTA16R,D30BTA16R,D40BTA16R,D20BTA16R,,DE0BTA16R,,,
All Subjects,2015,SA0BTA15R,RA0BTA15R,DA0BTA15R,DB0BTA15R,DH0BTA15R,DW0BTA15R,DI0BTA15R,D30BTA15R,D40BTA15R,D20BTA15R,,DE0BTA15R,,,
All Subjects,English Language Arts 2016,SA0BTE16R,RA0BTE16R,DA0BTE16R,DB0BTE16R,DH0BTE16R,DW0BTE16R,DI0BTE16R,D30BTE16R,D40BTE16R,D20BTE16R,,DE0BTE16R,,,
All Subjects,2015,SA0BTE15R,RA0BTE15R,DA0BTE15R,DB0BTE15R,DH0BTE15R,DW0BTE15R,DI0BTE15R,D30BTE15R,D40BTE15R,D20BTE15R,,DE0BTE15R,,,
Mathematics,Mathematics,,,,,,,,,,,,,,,
Mathematics,2016,SA0BTM16R,RA0BTM16R,DA0BTM16R,DB0BTM16R,DH0BTM16R,DW0BTM16R,DI0BTM16R,D30BTM16R,D40BTM16R,D20BTM16R,,DE0BTM16R,,,
Mathematics,2015,SA0BTM15R,RA0BTM15R,DA0BTM15R,DB0BTM15R,DH0BTM15R,DW0BTM15R,DI0BTM15R,D30BTM15R,D40BTM15R,D20BTM15R,,DE0BTM15R,,,
Mathematics,Science 2016,SA0BTC16R,RA0BTC16R,DA0BTC16R,DB0BTC16R,DH0BTC16R,DW0BTC16R,DI0BTC16R,D30BTC16R,D40BTC16R,D20BTC16R,,DE0BTC16R,,,
Mathematics,2015,SA0BTC15R,RA0BTC15R,DA0BTC15R,DB0BTC15R,DH0BTC15R,DW0BTC15R,DI0BTC15R,D30BTC15R,D40BTC15R,D20BTC15R,,DE0BTC15R,,,
Social Studies,Social Studies,,,,,,,,,,,,,,,
Social Studies,2016,SA0BTS16R,RA0BTS16R,DA0BTS16R,DB0BTS16R,DH0BTS16R,DW0BTS16R,DI0BTS16R,D30BTS16R,D40BTS16R,D20BTS16R,,DE0BTS16R,,,
Social Studies,2015,SA0BTS15R,RA0BTS15R,DA0BTS15R,DB0BTS15R,DH0BTS15R,DW0BTS15R,DI0BTS15R,D30BTS15R,D40BTS15R,D20BTS15R,,DE0BTS15R,,,
AP/IB Results (Examinees >= Criterion),AP/IB Results (Examinees >= Criterion),,,,,,,,,,,,,,,
All Subjects,All Subjects,,,,,,,,,,,,,,,
All Subjects,2016,SA0BKA16R,RA0BKA16R,DA0BKA16R,DB0BKA16R,DH0BKA16R,DW0BKA16R,DI0BKA16R,D30BKA16R,D40BKA16R,D20BKA16R,,DE0BKA16R,,,
All Subjects,2015,SA0BKA15R,RA0BKA15R,DA0BKA15R,DB0BKA15R,DH0BKA15R,DW0BKA15R,DI0BKA15R,D30BKA15R,D40BKA15R,D20BKA15R,,DE0BKA15R,,,
All Subjects,English Language Arts 2016,SA0BKE16R,RA0BKE16R,DA0BKE16R,DB0BKE16R,DH0BKE16R,DW0BKE16R,DI0BKE16R,D30BKE16R,D40BKE16R,D20BKE16R,,DE0BKE16R,,,
All Subjects,2015,SA0BKE15R,RA0BKE15R,DA0BKE15R,DB0BKE15R,DH0BKE15R,DW0BKE15R,DI0BKE15R,D30BKE15R,D40BKE15R,D20BKE15R,,DE0BKE15R,,,
Mathematics,Mathematics,,,,,,,,,,,,,,,
Mathematics,2016,SA0BKM16R,RA0BKM16R,DA0BKM16R,DB0BKM16R,DH0BKM16R,DW0BKM16R,DI0BKM16R,D30BKM16R,D40BKM16R,D20BKM16R,,DE0BKM16R,,,
Mathematics,2015,SA0BKM15R,RA0BKM15R,DA0BKM15R,DB0BKM15R,DH0BKM15R,DW0BKM15R,DI0BKM15R,D30BKM15R,D40BKM15R,D20BKM15R,,DE0BKM15R,,,
Science,Science,,,,,,,,,,,,,,,
Science,2016,SA0BKC16R,RA0BKC16R,DA0BKC16R,DB0BKC16R,DH0BKC16R,DW0BKC16R,DI0BKC16R,D30BKC16R,D40BKC16R,D20BKC16R,,DE0BKC16R,,,
Science,2015,SA0BKC15R,RA0BKC15R,DA0BKC15R,DB0BKC15R,DH0BKC15R,DW0BKC15R,DI0BKC15R,D30BKC15R,D40BKC15R,D20BKC15R,,DE0BKC15R,,,
Science,Social Studies 2016,SA0BKS16R,RA0BKS16R,DA0BKS16R,DB0BKS16R,DH0BKS16R,DW0BKS16R,DI0BKS16R,D30BKS16R,D40BKS16R,D20BKS16R,,DE0BKS16R,,,
Science,2015,SA0BKS15R,RA0BKS15R,DA0BKS15R,DB0BKS15R,DH0BKS15R,DW0BKS15R,DI0BKS15R,D30BKS15R,D40BKS15R,D20BKS15R,,DE0BKS15R,,,
SAT/ACT Results,SAT/ACT Results,,,,,,,,,,,,,,,
Tested,Tested,,,,,,,,,,,,,,,
Tested,Class of 2016,SA0CT16R,RA0CT16R,DA0CT16R,DB0CT16R,DH0CT16R,DW0CT16R,DI0CT16R,D30CT16R,D40CT16R,D20CT16R,,DE0CT16R,,,
Tested,Class of 2015,SA0CT15R,RA0CT15R,DA0CT15R,DB0CT15R,DH0CT15R,DW0CT15R,DI0CT15R,D30CT15R,D40CT15R,D20CT15R,,DE0CT15R,,,
At/Above Criterion,At/Above Criterion,,,,,,,,,,,,,,,
At/Above Criterion,Class of 2016,SA0CC16R,RA0CC16R,DA0CC16R,DB0CC16R,DH0CC16R,DW0CC16R,DI0CC16R,D30CC16R,D40CC16R,D20CC16R,,DE0CC16R,,,
At/Above Criterion,Class of 2015,SA0CC15R,RA0CC15R,DA0CC15R,DB0CC15R,DH0CC15R,DW0CC15R,DI0CC15R,D30CC15R,D40CC15R,D20CC15R,,DE0CC15R,,,
Average SAT Score,Average SAT Score,,,,,,,,,,,,,,,
All Subjects,All Subjects,,,,,,,,,,,,,,,
All Subjects,Class of 2016,SA0CSA16R,RA0CSA16R,DA0CSA16R,DB0CSA16R,DH0CSA16R,DW0CSA16R,DI0CSA16R,D30CSA16R,D40CSA16R,D20CSA16R,,DE0CSA16R,,,
All Subjects,Class of 2015,SA0CSA15R,RA0CSA15R,DA0CSA15R,DB0CSA15R,DH0CSA15R,DW0CSA15R,DI0CSA15R,D30CSA15R,D40CSA15R,D20CSA15R,,DE0CSA15R,,,
English Language Arts and Writing,English Language Arts and Writing,,,,,,,,,,,,,,,
English Language Arts and Writing,Class of 2016,SA0CSE16R,RA0CSE16R,DA0CSE16R,DB0CSE16R,DH0CSE16R,DW0CSE16R,DI0CSE16R,D30CSE16R,D40CSE16R,D20CSE16R,,DE0CSE16R,,,
English Language Arts and Writing,Class of 2015,SA0CSE15R,RA0CSE15R,DA0CSE15R,DB0CSE15R,DH0CSE15R,DW0CSE15R,DI0CSE15R,D30CSE15R,D40CSE15R,D20CSE15R,,DE0CSE15R,,,
Mathematics,Mathematics,,,,,,,,,,,,,,,
Mathematics,Class of 2016,SA0CSM16R,RA0CSM16R,DA0CSM16R,DB0CSM16R,DH0CSM16R,DW0CSM16R,DI0CSM16R,D30CSM16R,D40CSM16R,D20CSM16R,,DE0CSM16R,,,
Mathematics,Class of 2015,SA0CSM15R,RA0CSM15R,DA0CSM15R,DB0CSM15R,DH0CSM15R,DW0CSM15R,DI0CSM15R,D30CSM15R,D40CSM15R,D20CSM15R,,DE0CSM15R,,,
,Class of 2015,,,,,,,,,,,,,,,
,District Number: DISTRICT,State,Region ##,District,African American,Hispanic,White,American Indian,Asian,Pacific Islander,Two or More Races,Special Ed,Econ Disadv,ELL,,
Average ACT Score,Average ACT Score,,,,,,,,,,,,,,,
All Subjects,All Subjects,,,,,,,,,,,,,,,
All Subjects,Class of 2016,SA0CAA16R,RA0CAA16R,DA0CAA16R,DB0CAA16R,DH0CAA16R,DW0CAA16R,DI0CAA16R,D30CAA16R,D40CAA16R,D20CAA16R,,DE0CAA16R,,,
All Subjects,Class of 2015,SA0CAA15R,RA0CAA15R,DA0CAA15R,DB0CAA15R,DH0CAA15R,DW0CAA15R,DI0CAA15R,D30CAA15R,D40CAA15R,D20CAA15R,,DE0CAA15R,,,
All Subjects,English Language Arts Class of 2016,SA0CAE16R,RA0CAE16R,DA0CAE16R,DB0CAE16R,DH0CAE16R,DW0CAE16R,DI0CAE16R,D30CAE16R,D40CAE16R,D20CAE16R,,DE0CAE16R,,,
All Subjects,Class of 2015,SA0CAE15R,RA0CAE15R,DA0CAE15R,DB0CAE15R,DH0CAE15R,DW0CAE15R,DI0CAE15R,D30CAE15R,D40CAE15R,D20CAE15R,,DE0CAE15R,,,
Mathematics,Mathematics,,,,,,,,,,,,,,,
Mathematics,Class of 2016,SA0CAM16R,RA0CAM16R,DA0CAM16R,DB0CAM16R,DH0CAM16R,DW0CAM16R,DI0CAM16R,D30CAM16R,D40CAM16R,D20CAM16R,,DE0CAM16R,,,
Mathematics,Class of 2015,SA0CAM15R,RA0CAM15R,DA0CAM15R,DB0CAM15R,DH0CAM15R,DW0CAM15R,DI0CAM15R,D30CAM15R,D40CAM15R,D20CAM15R,,DE0CAM15R,,,
Science,Science,,,,,,,,,,,,,,,
Science,Class of 2016,SA0CAC16R,RA0CAC16R,DA0CAC16R,DB0CAC16R,DH0CAC16R,DW0CAC16R,DI0CAC16R,D30CAC16R,D40CAC16R,D20CAC16R,,DE0CAC16R,,,
Science,Class of 2015,SA0CAC15R,RA0CAC15R,DA0CAC15R,DB0CAC15R,DH0CAC15R,DW0CAC15R,DI0CAC15R,D30CAC15R,D40CAC15R,D20CAC15R,,DE0CAC15R,,,
Graduates Enrolled in Texas Institution of Higher Education (TX IHE),Graduates Enrolled in Texas Institution of Higher Education (TX IHE),,,,,,,,,,,,,,,
Graduates Enrolled in Texas Institution of Higher Education (TX IHE),2014-15,SAHEE16R,RAHEE16R,DAHEE16R,,,,,,,,,,,,
Graduates Enrolled in Texas Institution of Higher Education (TX IHE),2013-14,SAHEE15R,RAHEE15R,DAHEE15R,,,,,,,,,,,,
Graduates in TX IHE Completing One Year Without Remediation,Graduates in TX IHE Completing One Year Without Remediation,,,,,,,,,,,,,,,
Graduates in TX IHE Completing One Year Without Remediation,2014-15,SAHEC16R,RAHEC16R,DAHEC16R,,,,,,,,,,,,
Graduates in TX IHE Completing One Year Without Remediation,2013-14,SAHEC15R,RAHEC15R,DAHEC15R,,,,,,,,,,,,
,2013-14,,,,,,,,,,,,,,,
,Student Information,"----------------
Count","District ----------------
Percent","------------------ Count
State","Percent
------------------",,,,,,,,,,,
,Total Students:,DPETALLC,100.0%,SPETALLC,100.0%,,,,,,,,,,,
Students by Grade:,Students by Grade:,,,,,,,,,,,,,,,
Students by Grade:,Early Childhood Education,DPETGEEC,DPETGEEP,SPETGEEC,SPETGEEP,,,,,,,,,,,
Students by Grade:,Pre-Kindergarten,DPETGPKC,DPETGPKP,SPETGPKC,SPETGPKP,,,,,,,,,,,
Students by Grade:,Kindergarten,DPETGKNC,DPETGKNP,SPETGKNC,SPETGKNP,,,,,,,,,,,
Students by Grade:,Grade 1,DPETG01C,DPETG01P,SPETG01C,SPETG01P,,,,,,,,,,,
Students by Grade:,Grade 2,DPETG02C,DPETG02P,SPETG02C,SPETG02P,,,,,,,,,,,
Students by Grade:,Grade 3,DPETG03C,DPETG03P,SPETG03C,SPETG03P,,,,,,,,,,,
Students by Grade:,Grade 4,DPETG04C,DPETG04P,SPETG04C,SPETG04P,,,,,,,,,,,
Students by Grade:,Grade 5,DPETG05C,DPETG05P,SPETG05C,SPETG05P,,,,,,,,,,,
Students by Grade:,Grade 6,DPETG06C,DPETG06P,SPETG06C,SPETG06P,,,,,,,,,,,
Students by Grade:,Grade 7,DPETG07C,DPETG07P,SPETG07C,SPETG07P,,,,,,,,,,,
Students by Grade:,Grade 8,DPETG08C,DPETG08P,SPETG08C,SPETG08P,,,,,,,,,,,
Students by Grade:,Grade 9,DPETG09C,DPETG09P,SPETG09C,SPETG09P,,,,,,,,,,,
Students by Grade:,Grade 10,DPETG10C,DPETG10P,SPETG10C,SPETG10P,,,,,,,,,,,
Students by Grade:,Grade 11,DPETG11C,DPETG11P,SPETG11C,SPETG11P,,,,,,,,,,,
Students by Grade:,Grade 12,DPETG12C,DPETG12P,SPETG12C,SPETG12P,,,,,,,,,,,
Ethnic Distribution:,Ethnic Distribution:,,,,,,,,,,,,,,,
Ethnic Distribution:,African American,DPETBLAC,DPETBLAP,SPETBLAC,SPETBLAP,,,,,,,,,,,
Ethnic Distribution:,Hispanic,DPETHISC,DPETHISP,SPETHISC,SPETHISP,,,,,,,,,,,
Ethnic Distribution:,White,DPETWHIC,DPETWHIP,SPETWHIC,SPETWHIP,,,,,,,,,,,
Ethnic Distribution:,American Indian,DPETINDC,DPETINDP,SPETINDC,SPETINDP,,,,,,,,,,,
Ethnic Distribution:,Asian,DPETASIC,DPETASIP,SPETASIC,SPETASIP,,,,,,,,,,,
Ethnic Distribution:,Pacific Islander,DPETPCIC,DPETPCIP,SPETPCIC,SPETPCIP,,,,,,,,,,,
Ethnic Distribution:,Two or More Races,DPETTWOC,DPETTWOP,SPETTWOC,SPETTWOP,,,,,,,,,,,
Ethnic Distribution:,Economically Disadvantaged,DPETECOC,DPETECOP,SPETECOC,SPETECOP,,,,,,,,,,,
Ethnic Distribution:,Non-Educationally Disadvantaged,DPETNEDC,DPETNEDP,SPETNEDC,SPETNEDP,,,,,,,,,,,
Ethnic Distribution:,English Language Learners (ELL),DPETLEPC,DPETLEPP,SPETLEPC,SPETLEPP,,,,,,,,,,,
Ethnic Distribution:,Students w/ Disciplinary Placements (2015-2016),DPETDISC,DPETDISP,SPETDISC,SPETDISP,,,,,,,,,,,
Ethnic Distribution:,At-Risk,DPETRSKC,DPETRSKP,SPETRSKC,SPETRSKP,,,,,,,,,,,
Students with Disabilities by Type of Primary Disability,Students with Disabilities by Type of Primary Disability,,,,,,,,,,,,,,,
Students with Disabilities by Type of Primary Disability,Total Students with Disabilities,DPETSIMC,,SPETSIMC,,,,,,,,,,,,
By Type of Primary Disability,By Type of Primary Disability,,,,,,,,,,,,,,,
By Type of Primary Disability,Students with Intellectual Disabilities,DPETSINC,DPETSINP,SPETSINC,SPETSINP,,,,,,,,,,,
By Type of Primary Disability,Students with Physical Disabilities,DPETSPHC,DPETSPHP,SPETSPHC,SPETSPHP,,,,,,,,,,,
By Type of Primary Disability,Students with Autism,DPETSAUC,DPETSAUP,SPETSAUC,SPETSAUP,,,,,,,,,,,
By Type of Primary Disability,Students with Behavioral Disabilities Students with Non-Categorical Early Childhood,DPETSBHC DPETSNOC,DPETSBHP DPETSNOP,SPETSBHC SPETSNOC,SPETSBHP SPETSNOP,,,,,,,,,,,
By Type of Primary Disability,Mobility (2015-2016) (download only),DPEMALLC,DPEMALLP,,,,,,,,,,,,,
,Mobility (2015-2016) (download only),,,,,,,,,,,,,,,
,Student Information,"---------------- District
Count","----------------
Percent","------------------ State
Count","------------------
Percent",,,,,,,,,,,
Graduates (Class of 2016):,Graduates (Class of 2016):,,,,,,,,,,,,,,,
Graduates (Class of 2016):,Total Graduates,DA0GR16N,DA0GR16R,SA0GR16N,SA0GR16R,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,By Ethnicity (incl. Special Ed.):,,,,,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,African American,DB0GR16N,DB0GR16R,SB0GR16N,SB0GR16R,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,Hispanic,DH0GR16N,DH0GR16R,SH0GR16N,SH0GR16R,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,White,DW0GR16N,DW0GR16R,SW0GR16N,SW0GR16R,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,American Indian,DI0GR16N,DI0GR16R,SI0GR16N,SI0GR16R,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,Asian,D30GR16N,D30GR16R,S30GR16N,S30GR16R,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,Pacific Islander,D40GR16N,D40GR16R,S40GR16N,S40GR16R,,,,,,,,,,,
By Ethnicity (incl. Special Ed.):,Two or More Races,D20GR16N,D20GR16R,S20GR16N,S20GR16R,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,By Graduation Type (incl. Special Ed.):,,,,,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,Minimum H.S. Program,DA0GM16N,DA0GM16P,SA0GM16N,SA0GM16P,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,Recommended H.S. Program/DAP,DA0GH16N,DA0GH16P,SA0GH16N,SA0GH16P,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,Foundation High School Plan (No Endorsement),DA0GN16N,DA0GN16P,SA0GN16N,SA0GN16P,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,Foundation High School Plan (Endorsement),DA0GE16N,DA0GE16P,SA0GE16N,SA0GE16P,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,Foundation High School Plan (DLA),DA0GA16N,DA0GA16P,SA0GA16N,SA0GA16P,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,Special Education Graduates,DS0GR16N,DS0GR16R,SS0GR16N,SS0GR16R,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,Economically Disadvantaged Graduates (download only),DE0GR16N,DE0GR16R,SE0GR16N,SE0GR16R,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,LEP Graduates (download only),DL0GR16N,DL0GR16R,SL0GR16N,SL0GR16R,,,,,,,,,,,
By Graduation Type (incl. Special Ed.):,At Risk Graduates (download only),DR0GR16N,DR0GR16R,SR0GR16N,SR0GR16R,,,,,,,,,,,
,At Risk Graduates (download only),,,,,,,,,,,,,,,
,Student Information,- Non-Special Education Rates -,,- Special Education Rates -,,,,,,,,,,,,
,Student Information,District,State,District,State,,,,,,,,,,,
Retention Rates by Grade:,Retention Rates by Grade:,,,,,,,,,,,,,,,
Retention Rates by Grade:,Kindergarten,DPERRAKR,SPERRAKR,DPERSAKR,SPERSAKR,,,,,,,,,,,
Retention Rates by Grade:,Grade 1,DPERRA1R,SPERRA1R,DPERSA1R,SPERSA1R,,,,,,,,,,,
Retention Rates by Grade:,Grade 2,DPERRA2R,SPERRA2R,DPERSA2R,SPERSA2R,,,,,,,,,,,
Retention Rates by Grade:,Grade 3,DPERRA3R,SPERRA3R,DPERSA3R,SPERSA3R,,,,,,,,,,,
Retention Rates by Grade:,Grade 4,DPERRA4R,SPERRA4R,DPERSA4R,SPERSA4R,,,,,,,,,,,
Retention Rates by Grade:,Grade 5,DPERRA5R,SPERRA5R,DPERSA5R,SPERSA5R,,,,,,,,,,,
Retention Rates by Grade:,Grade 6,DPERRA6R,SPERRA6R,DPERSA6R,SPERSA6R,,,,,,,,,,,
Retention Rates by Grade:,Grade 7,DPERRA7R,SPERRA7R,DPERSA7R,SPERSA7R,,,,,,,,,,,
Retention Rates by Grade:,Grade 8,DPERRA8R,SPERRA8R,DPERSA8R,SPERSA8R,,,,,,,,,,,
,Grade 8,,,,,,,,,,,,,,,
,Grade 8,,,,Count,Percent,Count,Percent,,,,,,,,
Data Quality:,Data Quality:,,,,,,,,,,,,,,,
Data Quality:,Underreported Students,,,,DAUND16C,DAUND16R,SAUND16C,SAUND16R,,,,,,,,
Data Quality:,Class Size Information,,,,,District,,State,,,,,,,,
Class Size Averages by Grade and Subject (Derived from teacher responsibility records):,Class Size Averages by Grade and Subject (Derived from teacher responsibility records):,,,,,,,,,,,,,,,
Elementary:,Elementary:,,,,,,,,,,,,,,,
Elementary:,Kindergarten,,,,,DPCTGKGA,,SPCTGKGA,,,,,,,,
Elementary:,Grade 1,,,,,DPCTG01A,,SPCTG01A,,,,,,,,
Elementary:,Grade 2,,,,,DPCTG02A,,SPCTG02A,,,,,,,,
Elementary:,Grade 3,,,,,DPCTG03A,,SPCTG03A,,,,,,,,
Elementary:,Grade 4,,,,,DPCTG04A,,SPCTG04A,,,,,,,,
Elementary:,Grade 5,,,,,DPCTG05A,,SPCTG05A,,,,,,,,
Elementary:,Grade 6,,,,,DPCTG06A,,SPCTG06A,,,,,,,,
Secondary:,Secondary:,,,,,,,,,,,,,,,
Secondary:,English/Language Arts,,,,,DPCTENGA,,SPCTENGA,,,,,,,,
Secondary:,Foreign Languages,,,,,DPCTFLAA,,SPCTFLAA,,,,,,,,
Secondary:,Mathematics,,,,,DPCTMATA,,SPCTMATA,,,,,,,,
Secondary:,Science,,,,,DPCTSCIA,,SPCTSCIA,,,,,,,,
Secondary:,Social Studies,,,,,DPCTSOCA,,SPCTSOCA,,,,,,,,
,Social Studies,,,,,,,,,,,,,,,
,Staff Information,"---------------- Count
District","Percent
----------------","----------------- Count
State","Percent
-----------------",,,,,,,,,,,
,Total Staff,DPSATOFC,100.00%,SPSATOFC,100.00%,,,,,,,,,,,
,Professional Staff:,DPSPTOFC,DPSPTOFP,SPSPTOFC,SPSPTOFP,,,,,,,,,,,
,Teachers,DPSTTOFC,DPSTTOFP,SPSTTOFC,SPSTTOFP,,,,,,,,,,,
,Professional Support,DPSUTOFC,DPSUTOFP,SPSUTOFC,SPSUTOFP,,,,,,,,,,,
,Campus Administration (School Leadership),DPSSTOFC,DPSSTOFP,SPSSTOFC,SPSSTOFP,,,,,,,,,,,
,Central Administration,DPSCTOFC,DPSCTOFP,SPSCTOFC,SPSCTOFP,,,,,,,,,,,
,Educational Aides:,DPSETOFC,DPSETOFP,SPSETOFC,SPSETOFP,,,,,,,,,,,
,Auxiliary Staff:,DPSXTOFC,DPSXTOFP,SPSXTOFC,SPSXTOFP,,,,,,,,,,,
,Total Minority Staff:,DPSAMIFC,DPSAMIFP,SPSAMIFC,SPSAMIFP,,,,,,,,,,,
Teachers by Ethnicity and Sex:,Teachers by Ethnicity and Sex:,,,,,,,,,,,,,,,
Teachers by Ethnicity and Sex:,African American,DPSTBLFC,DPSTBLFP,SPSTBLFC,SPSTBLFP,,,,,,,,,,,
Teachers by Ethnicity and Sex:,Hispanic,DPSTHIFC,DPSTHIFP,SPSTHIFC,SPSTHIFP,,,,,,,,,,,
Teachers by Ethnicity and Sex:,White,DPSTWHFC,DPSTWHFP,SPSTWHFC,SPSTWHFP,,,,,,,,,,,
Teachers by Ethnicity and Sex:,American Indian,DPSTINFC,DPSTINFP,SPSTINFC,SPSTINFP,,,,,,,,,,,
Teachers by Ethnicity and Sex:,Asian,DPSTASFC,DPSTASFP,SPSTASFC,SPSTASFP,,,,,,,,,,,
Teachers by Ethnicity and Sex:,Pacific Islander,DPSTPIFC,DPSTPIFP,SPSTPIFC,SPSTPIFP,,,,,,,,,,,
Teachers by Ethnicity and Sex:,Two or More Races,DPSTTWFC,DPSTTWFP,SPSTTWFC,SPSTTWFP,,,,,,,,,,,
Teachers by Ethnicity and Sex:,Males Females,DPSTMAFC DPSTFEFC,DPSTMAFP DPSTFEFP,SPSTMAFC SPSTFEFC,SPSTMAFP SPSTFEFP,,,,,,,,,,,
Teachers by Highest Degree Held:,Teachers by Highest Degree Held:,,,,,,,,,,,,,,,
Teachers by Highest Degree Held:,No Degree,DPSTNOFC,DPSTNOFP,SPSTNOFC,SPSTNOFP,,,,,,,,,,,
Teachers by Highest Degree Held:,Bachelors Masters Doctorate,DPSTBAFC DPSTMSFC DPSTPHFC,DPSTBAFP DPSTMSFP DPSTPHFP,SPSTBAFC SPSTMSFC SPSTPHFC,SPSTBAFP SPSTMSFP SPSTPHFP,,,,,,,,,,,
Teachers by Years of Experience:,Teachers by Years of Experience:,,,,,,,,,,,,,,,
Teachers by Years of Experience:,Beginning Teachers,DPST00FC,DPST00FP,SPST00FC,SPST00FP,,,,,,,,,,,
Teachers by Years of Experience:,1-5 Years Experience,DPST01FC,DPST01FP,SPST01FC,SPST01FP,,,,,,,,,,,
Teachers by Years of Experience:,6-10 Years Experience,DPST06FC,DPST06FP,SPST06FC,SPST06FP,,,,,,,,,,,
Teachers by Years of Experience:,11-20 Years Experience,DPST11FC,DPST11FP,SPST11FC,SPST11FP,,,,,,,,,,,
Teachers by Years of Experience:,Over 20 Years Experience,DPST20FC,DPST20FP,SPST20FC,SPST20FP,,,,,,,,,,,
Teachers by Years of Experience:,Number of Students per Teacher,DPSTKIDR,,SPSTKIDR,,,,,,,,,,,,
,Number of Students per Teacher,,,,,,,,,,,,,,,
,Staff Information,District,State,,,,,,,,,,,,,
Experience of Campus Leadership :,Experience of Campus Leadership :,,,,,,,,,,,,,,,
Experience of Campus Leadership :,Average Years Experience of Principals,DPSHEXPA,SPSHEXPA,,,,,,,,,,,,,
Experience of Campus Leadership :,Average Years Experience of Principals with District,DPSHTENA,SPSHTENA,,,,,,,,,,,,,
Experience of Campus Leadership :,Average Years Experience of Assistant Principals,DPSLEXPA,SPSLEXPA,,,,,,,,,,,,,
Experience of Campus Leadership :,Average Years Experience of Assistant Principals with District,DPSLTENA,SPSLTENA,,,,,,,,,,,,,
Experience of Campus Leadership :,Average Years Experience of Teachers:,DPSTEXPA,SPSTEXPA,,,,,,,,,,,,,
Experience of Campus Leadership :,Average Years Experience of Teachers with District:,DPSTTENA,SPSTTENA,,,,,,,,,,,,,
Experience of Campus Leadership :,Average Teacher Salary by Years of Experience (regular duties only): Beginning Teachers,DPST00SA,SPST00SA,,,,,,,,,,,,,
Experience of Campus Leadership :,1-5 Years Experience,DPST01SA,SPST01SA,,,,,,,,,,,,,
Experience of Campus Leadership :,6-10 Years Experience,DPST06SA,SPST06SA,,,,,,,,,,,,,
Experience of Campus Leadership :,11-20 Years Experience,DPST11SA,SPST11SA,,,,,,,,,,,,,
Experience of Campus Leadership :,Over 20 Years Experience,DPST20SA,SPST20SA,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,Average Actual Salaries (regular duties only):,,,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,Teachers,DPSTTOSA,SPSTTOSA,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,Professional Support,DPSUTOSA,SPSUTOSA,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,Campus Administration (School Leadership),DPSSTOSA,SPSSTOSA,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,Central Administration,DPSCTOSA,SPSCTOSA,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,Instructional Staff Percent:,DPSAINHP,SPSAINHP,,,,,,,,,,,,,
Average Actual Salaries (regular duties only):,Turnover Rate for Teachers:,DPSTURNR,SPSTURNR,,,,,,,,,,,,,
Staff Exclusions:,Staff Exclusions:,,,,,,,,,,,,,,,
Shared Services Arrangement Staff:,Shared Services Arrangement Staff:,,,,,,,,,,,,,,,
Shared Services Arrangement Staff:,Professional Staff,DPSPCOFC,SPSPCOFC,,,,,,,,,,,,,
Shared Services Arrangement Staff:,Educational Aides,DPSECOFC,SPSECOFC,,,,,,,,,,,,,
Shared Services Arrangement Staff:,Auxiliary Staff,DPSXCOFC,SPSXCOFC,,,,,,,,,,,,,
